timestamp,nb_calls
471600,436
471601,395
471602,346
471603,476
471604,512
471605,629
471606,421
471607,343
471608,385
471609,391
471610,537
471611,457
471612,522
471613,457
471614,426
471615,407
471616,470
471617,554
471618,368
471619,440
471620,306
471621,394
471622,465
471623,366
471624,506
471625,499
471626,369
471627,461
471628,435
471629,422
471630,455
471631,577
471632,419
471633,309
471634,415
471635,415
471636,452
471637,369
471638,505
471639,482
471640,485
471641,476
471642,430
471643,607
471644,378
471645,453
471646,434
471647,445
471648,585
471649,474
471650,450
471651,387
471652,447
471653,473
471654,687
471655,441
471656,543
471657,605
471658,306
471659,396
471660,440
471661,398
471662,404
471663,329
471664,457
471665,363
471666,406
471667,370
471668,390
471669,452
471670,396
471671,493
471672,339
471673,321
471674,446
471675,421
471676,445
471677,378
471678,357
471679,501
471680,358
471681,443
471682,376
471683,359
471684,429
471685,369
471686,287
471687,404
471688,343
471689,431
471690,468
471691,464
471692,475
471693,430
471694,410
471695,552
471696,370
471697,479
471698,427
471699,537
471700,361
471701,403
471702,470
471703,506
471704,299
471705,365
471706,311
471707,260
471708,386
471709,428
471710,352
471711,406
471712,377
471713,454
471714,377
471715,373
471716,375
471717,435
471718,346
471719,664
471720,496
471721,324
471722,358
471723,618
471724,404
471725,507
471726,458
471727,429
471728,363
471729,463
471730,244
471731,509
471732,543
471733,352
471734,338
471735,351
471736,442
471737,346
471738,462
471739,830
471740,552
471741,415
471742,385
471743,464
471744,446
471745,406
471746,449
471747,447
471748,503
471749,405
471750,414
471751,425
471752,379
471753,403
471754,667
471755,384
471756,436
471757,486
471758,398
471759,459
471760,443
471761,364
471762,378
471763,769
471764,509
471765,345
471766,468
471767,294
471768,324
471769,416
471770,401
471771,486
471772,392
471773,404
471774,317
471775,319
471776,396
471777,277
471778,440
471779,358
471780,302
471781,385
471782,444
471783,348
471784,447
471785,404
471786,477
471787,316
471788,387
471789,632
471790,539
471791,471
471792,717
471793,368
471794,578
471795,445
471796,476
471797,360
471798,363
471799,443
471800,398
471801,518
471802,375
471803,329
471804,334
471805,405
471806,312
471807,335
471808,450
471809,405
471810,373
471811,484
471812,446
471813,453
471814,488
471815,362
471816,608
471817,347
471818,460
471819,407
471820,377
471821,304
471822,464
471823,425
471824,410
471825,710
471826,287
471827,453
471828,383
471829,406
471830,297
471831,353
471832,391
471833,359
471834,374
471835,360
471836,374
471837,541
471838,498
471839,806
471840,333
471841,491
471842,520
471843,507
471844,428
