Method,Name,Error,Occurrences
POST,/loginAction?username=43&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=43&password=password'),9
GET,/category?page=4&category=2,HTTPError('404 Client Error:  for url: /category?page=4&category=2'),60
POST,/loginAction?username=75&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=75&password=password'),6
GET,/category?page=3&category=3,HTTPError('404 Client Error:  for url: /category?page=3&category=3'),65
POST,/loginAction?username=39&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=39&password=password'),8
GET,/category?page=5&category=3,HTTPError('404 Client Error:  for url: /category?page=5&category=3'),53
POST,/loginAction?username=87&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=87&password=password'),6
POST,/loginAction?username=10&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=10&password=password'),7
POST,/loginAction?username=88&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=88&password=password'),8
POST,/loginAction?username=93&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=93&password=password'),7
POST,/loginAction?username=68&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=68&password=password'),6
GET,/category?page=3&category=4,HTTPError('404 Client Error:  for url: /category?page=3&category=4'),54
POST,/loginAction?username=41&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=41&password=password'),8
GET,/category?page=4&category=4,HTTPError('404 Client Error:  for url: /category?page=4&category=4'),54
GET,/category?page=1&category=5,HTTPError('404 Client Error:  for url: /category?page=1&category=5'),75
POST,/loginAction?username=1&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=1&password=password'),4
POST,/loginAction?username=67&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=67&password=password'),7
GET,/category?page=4&category=5,HTTPError('404 Client Error:  for url: /category?page=4&category=5'),75
POST,/loginAction?username=99&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=99&password=password'),7
POST,/loginAction?username=90&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=90&password=password'),6
POST,/loginAction?username=31&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=31&password=password'),4
GET,/category?page=4&category=3,HTTPError('404 Client Error:  for url: /category?page=4&category=3'),64
POST,/loginAction?username=95&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=95&password=password'),6
POST,/loginAction?username=12&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=12&password=password'),6
GET,/category?page=4&category=6,HTTPError('404 Client Error:  for url: /category?page=4&category=6'),64
POST,/loginAction?username=71&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=71&password=password'),3
POST,/loginAction?username=14&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=14&password=password'),6
POST,/loginAction?username=78&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=78&password=password'),5
POST,/loginAction?username=85&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=85&password=password'),7
POST,/loginAction?username=53&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=53&password=password'),13
POST,/loginAction?username=94&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=94&password=password'),10
POST,/loginAction?username=34&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=34&password=password'),3
POST,/loginAction?username=24&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=24&password=password'),10
POST,/loginAction?username=33&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=33&password=password'),6
POST,/loginAction?username=7&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=7&password=password'),6
POST,/loginAction?username=13&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=13&password=password'),8
POST,/loginAction?username=97&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=97&password=password'),8
POST,/loginAction?username=35&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=35&password=password'),3
POST,/loginAction?logout=,HTTPError('404 Client Error:  for url: /loginAction?logout='),654
POST,/loginAction?username=22&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=22&password=password'),4
POST,/loginAction?username=49&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=49&password=password'),4
POST,/loginAction?username=21&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=21&password=password'),5
