Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,655,0,77,101.32657544272384,66.02609899709933,12788.719013973605,8905.0,2.1784955936463692,0.0,77,79,82,83,88,96,140,250,13000,13000,13000
POST,/cartAction?firstname=User&lastname=User&adress1=Road&adress2=City&cardtype=volvo&cardnumber=314159265359&expirydate=12%2F2050&confirm=Confirm,289,289,31,30.838855724015584,27.71048800786957,38.29542800667696,761.0,0.9611988191813751,0.9611988191813751,31,31,32,32,33,34,36,38,38,38,38
GET,/category?page=1&category=2,84,84,30,30.765068597767304,27.448339998954907,36.89304698491469,759.0,0.2793795875821298,0.2793795875821298,30,31,31,31,33,35,36,37,37,37,37
GET,/category?page=1&category=3,62,62,31,34.84663311082254,27.342910994775593,282.5455359998159,759.0,0.2062087432153815,0.2062087432153815,31,31,32,32,33,34,35,280,280,280,280
GET,/category?page=1&category=4,58,58,30,30.499433158246543,28.014217998133972,37.96975698787719,759.0,0.1929049533305182,0.1929049533305182,30,31,31,31,32,34,35,38,38,38,38
GET,/category?page=1&category=5,75,75,30,33.00346793335242,27.717196993762627,211.43027298967354,759.0,0.2494460603411873,0.2494460603411873,30,31,31,31,34,35,36,210,210,210,210
GET,/category?page=1&category=6,67,67,30,30.828303089730248,27.291986014461145,38.514349987963215,759.0,0.22283848057146066,0.22283848057146066,30,31,32,33,34,35,35,39,39,39,39
GET,/category?page=2&category=2,71,71,30,31.88251574527026,27.849742997204885,101.15866098203696,759.0,0.23614227045632397,0.23614227045632397,30,31,31,32,33,36,38,100,100,100,100
GET,/category?page=2&category=3,79,79,30,30.685490165259452,27.740243007428944,37.999905995093286,759.0,0.26274985022605063,0.26274985022605063,30,31,31,32,33,35,37,38,38,38,38
GET,/category?page=2&category=4,71,71,30,30.64838181779405,27.904870978090912,37.45435399468988,759.0,0.23614227045632397,0.23614227045632397,30,31,31,31,33,34,37,37,37,37,37
GET,/category?page=2&category=5,56,56,30,30.52449519548515,27.99477698863484,34.55338499043137,759.0,0.1862530583880865,0.1862530583880865,30,31,31,32,33,33,34,35,35,35,35
GET,/category?page=2&category=6,59,59,30,30.747763426299603,28.03959700395353,35.54817399708554,759.0,0.196230900801734,0.196230900801734,30,31,31,32,33,33,34,36,36,36,36
GET,/category?page=3&category=2,71,71,31,31.07000090481884,27.562811999814585,39.453627017792314,759.0,0.23614227045632397,0.23614227045632397,31,31,32,32,34,36,36,39,39,39,39
GET,/category?page=3&category=3,65,65,31,35.373015969078274,27.798425988294184,279.65573497931473,759.0,0.21618658562902898,0.21618658562902898,31,31,32,33,34,35,73,280,280,280,280
GET,/category?page=3&category=4,54,54,30,30.14609994392635,27.72594298585318,39.74298798129894,759.0,0.17960116344565485,0.17960116344565485,30,30,30,31,31,32,32,40,40,40,40
GET,/category?page=3&category=5,70,70,30,30.814663598929265,27.67456602305174,38.55235598166473,759.0,0.23281632298510815,0.23281632298510815,30,31,31,32,34,35,36,39,39,39,39
GET,/category?page=3&category=6,62,62,31,31.305063936968274,27.782846998889,49.03547800495289,759.0,0.2062087432153815,0.2062087432153815,31,31,32,33,34,36,40,49,49,49,49
GET,/category?page=4&category=2,60,60,30,30.85965394905846,27.80043298844248,39.11507400334813,759.0,0.19955684827294984,0.19955684827294984,30,31,32,32,33,33,39,39,39,39,39
GET,/category?page=4&category=3,64,64,30,33.33532719807408,29.030345001956448,172.99878201447427,759.0,0.21286063815781317,0.21286063815781317,30,31,32,33,33,36,39,170,170,170,170
GET,/category?page=4&category=4,54,54,30,33.48650825878226,27.404525986639783,172.76900500291958,759.0,0.17960116344565485,0.17960116344565485,31,31,32,33,33,35,38,170,170,170,170
GET,/category?page=4&category=5,75,75,30,30.373130212925997,27.21947801182978,35.363476985367015,759.0,0.2494460603411873,0.2494460603411873,30,31,31,31,32,33,35,35,35,35,35
GET,/category?page=4&category=6,64,64,30,31.10632237576283,27.930787997320294,58.42374000349082,759.0,0.21286063815781317,0.21286063815781317,30,31,31,32,33,34,35,58,58,58,58
GET,/category?page=5&category=2,67,67,30,30.776605373613343,27.909855998586863,36.75332199782133,759.0,0.22283848057146066,0.22283848057146066,30,31,32,32,33,35,35,37,37,37,37
GET,/category?page=5&category=3,53,53,31,36.53894302123314,28.232192009454593,298.39537397492677,759.0,0.17627521597443901,0.17627521597443901,31,31,31,32,32,36,70,300,300,300,300
GET,/category?page=5&category=4,59,59,30,30.656923796938162,27.357183978892863,38.38261097553186,759.0,0.196230900801734,0.196230900801734,30,31,31,32,34,36,37,38,38,38,38
GET,/category?page=5&category=5,56,56,30,30.51119244524411,27.48504700139165,34.50957400491461,759.0,0.1862530583880865,0.1862530583880865,31,31,32,32,33,34,34,35,35,35,35
GET,/category?page=5&category=6,71,71,30,33.315169616786,27.521998999873176,216.54557099100202,759.0,0.23614227045632397,0.23614227045632397,30,31,31,32,33,36,36,220,220,220,220
GET,/login,655,655,30,31.003319374099018,26.626105012837797,211.95106898085214,756.0,2.1784955936463692,2.1784955936463692,30,31,31,31,32,34,36,42,210,210,210
POST,/loginAction?logout=,654,654,30,31.357875295897976,27.069424017099664,214.76262499345466,762.0,2.1751696461751533,2.1751696461751533,30,31,31,31,33,34,36,38,210,210,210
POST,/loginAction?username=1&password=password,4,4,29,29.316765001567546,28.215161990374327,30.68537000217475,762.0,0.013303789884863323,0.013303789884863323,30,30,31,31,31,31,31,31,31,31,31
POST,/loginAction?username=10&password=password,7,7,30,30.176692579906167,28.383498021867126,31.37645701644942,762.0,0.023281632298510813,0.023281632298510813,30,31,31,31,31,31,31,31,31,31,31
POST,/loginAction?username=11&password=password,10,10,31,31.51183660083916,29.646792012499645,34.56038300646469,762.0,0.03325947471215831,0.03325947471215831,31,32,32,33,35,35,35,35,35,35,35
POST,/loginAction?username=12&password=password,6,6,30,30.180006666341797,29.58014898467809,31.88292498816736,762.0,0.019955684827294984,0.019955684827294984,30,30,30,30,32,32,32,32,32,32,32
POST,/loginAction?username=13&password=password,8,8,30,30.05581074830843,27.26902498397976,32.571687013842165,762.0,0.026607579769726646,0.026607579769726646,30,31,31,31,33,33,33,33,33,33,33
POST,/loginAction?username=14&password=password,6,6,30,30.480595329815213,29.433599003823474,32.17501699691638,762.0,0.019955684827294984,0.019955684827294984,31,31,31,31,32,32,32,32,32,32,32
POST,/loginAction?username=15&password=password,10,10,31,31.17495199549012,29.29781799321063,33.641704998444766,762.0,0.03325947471215831,0.03325947471215831,31,32,32,32,34,34,34,34,34,34,34
POST,/loginAction?username=16&password=password,1,1,30.806157999904826,30.806157999904826,30.806157999904826,30.806157999904826,762.0,0.0033259474712158308,0.0033259474712158308,31,31,31,31,31,31,31,31,31,31,31
POST,/loginAction?username=17&password=password,8,8,30,29.764404374873266,28.800441999919713,30.90443799737841,762.0,0.026607579769726646,0.026607579769726646,30,30,30,30,31,31,31,31,31,31,31
POST,/loginAction?username=18&password=password,6,6,30,29.998790172006313,29.287343990290537,30.661971017252654,762.0,0.019955684827294984,0.019955684827294984,30,30,31,31,31,31,31,31,31,31,31
POST,/loginAction?username=19&password=password,4,4,30,30.085417740338016,29.738094977801666,30.442240997217596,762.0,0.013303789884863323,0.013303789884863323,30,30,30,30,30,30,30,30,30,30,30
POST,/loginAction?username=2&password=password,8,8,29,33.28726249674219,27.94146802625619,58.4089070034679,762.0,0.026607579769726646,0.026607579769726646,30,30,33,33,58,58,58,58,58,58,58
POST,/loginAction?username=20&password=password,11,11,30,30.903725091113962,28.360436001094058,35.43790298863314,762.0,0.036585422183374135,0.036585422183374135,30,31,32,32,33,35,35,35,35,35,35
POST,/loginAction?username=21&password=password,5,5,30,29.45859600440599,27.58946199901402,30.107111000688747,762.0,0.016629737356079154,0.016629737356079154,30,30,30,30,30,30,30,30,30,30,30
POST,/loginAction?username=22&password=password,4,4,30,31.307387245760765,28.96779400180094,35.163144988473505,762.0,0.013303789884863323,0.013303789884863323,31,31,35,35,35,35,35,35,35,35,35
POST,/loginAction?username=23&password=password,8,8,30,30.722972376679536,29.338137013837695,34.02566400473006,762.0,0.026607579769726646,0.026607579769726646,31,31,31,31,34,34,34,34,34,34,34
POST,/loginAction?username=24&password=password,10,10,30,30.116222394281067,27.837656991323456,31.360178982140496,762.0,0.03325947471215831,0.03325947471215831,30,31,31,31,31,31,31,31,31,31,31
POST,/loginAction?username=25&password=password,6,6,30,30.49507950102755,29.662518994882703,31.29851000267081,762.0,0.019955684827294984,0.019955684827294984,31,31,31,31,31,31,31,31,31,31,31
POST,/loginAction?username=26&password=password,8,8,31,31.988101880415343,29.384349996689707,37.881269003264606,762.0,0.026607579769726646,0.026607579769726646,31,31,34,34,38,38,38,38,38,38,38
POST,/loginAction?username=27&password=password,5,5,30.1997970091179,30.714930006070063,30.1997970091179,31.86026800540276,762.0,0.016629737356079154,0.016629737356079154,30,31,31,32,32,32,32,32,32,32,32
POST,/loginAction?username=28&password=password,11,11,31,30.962968911890957,28.415334003511816,35.303037002449855,762.0,0.036585422183374135,0.036585422183374135,31,31,32,32,33,35,35,35,35,35,35
POST,/loginAction?username=29&password=password,9,9,30.947763996664435,30.229063226013547,28.363521007122472,30.947763996664435,762.0,0.029933527240942476,0.029933527240942476,31,31,31,31,31,31,31,31,31,31,31
POST,/loginAction?username=3&password=password,6,6,31,31.898338832737256,28.39145198231563,35.96042102435604,762.0,0.019955684827294984,0.019955684827294984,32,32,34,34,36,36,36,36,36,36,36
POST,/loginAction?username=30&password=password,5,5,32,31.85704600182362,30.262774002039805,34.69920300995,762.0,0.016629737356079154,0.016629737356079154,32,32,32,35,35,35,35,35,35,35,35
POST,/loginAction?username=31&password=password,4,4,30,29.902147500251886,28.255812998395413,31.057773012435064,762.0,0.013303789884863323,0.013303789884863323,30,30,31,31,31,31,31,31,31,31,31
POST,/loginAction?username=32&password=password,4,4,32,31.006142744445242,27.992485993308946,32.26557400193997,762.0,0.013303789884863323,0.013303789884863323,32,32,32,32,32,32,32,32,32,32,32
POST,/loginAction?username=33&password=password,6,6,30,31.522252325279016,28.775737999239936,38.51600500638597,762.0,0.019955684827294984,0.019955684827294984,30,30,31,31,39,39,39,39,39,39,39
POST,/loginAction?username=34&password=password,3,3,30.37627600133419,32.358035328797996,30.37627600133419,36.270306998630986,762.0,0.009977842413647492,0.009977842413647492,30,30,36,36,36,36,36,36,36,36,36
POST,/loginAction?username=35&password=password,3,3,31,31.153621326666325,29.977024998515844,32.88608498405665,762.0,0.009977842413647492,0.009977842413647492,31,31,33,33,33,33,33,33,33,33,33
POST,/loginAction?username=36&password=password,7,7,30,30.237220290083705,29.640743014169857,30.778132990235463,762.0,0.023281632298510813,0.023281632298510813,30,30,31,31,31,31,31,31,31,31,31
POST,/loginAction?username=37&password=password,8,8,31,31.154277497989824,29.56738500506617,32.71332097938284,762.0,0.026607579769726646,0.026607579769726646,32,32,32,32,33,33,33,33,33,33,33
POST,/loginAction?username=38&password=password,3,3,29.1138949978631,29.450994334183633,29.1138949978631,30.09934999863617,762.0,0.009977842413647492,0.009977842413647492,29,29,30,30,30,30,30,30,30,30,30
POST,/loginAction?username=39&password=password,8,8,30,30.11073424568167,28.79517897963524,31.279666000045836,762.0,0.026607579769726646,0.026607579769726646,30,31,31,31,31,31,31,31,31,31,31
POST,/loginAction?username=4&password=password,10,10,30,31.58285180979874,27.257018024101853,41.03396399295889,762.0,0.03325947471215831,0.03325947471215831,31,32,34,35,41,41,41,41,41,41,41
POST,/loginAction?username=40&password=password,8,8,30,30.879823618306546,29.121267987648025,34.83891798532568,762.0,0.026607579769726646,0.026607579769726646,31,31,32,32,35,35,35,35,35,35,35
POST,/loginAction?username=41&password=password,8,8,31,30.852417505229823,29.99528800137341,32.63795099337585,762.0,0.026607579769726646,0.026607579769726646,31,31,32,32,33,33,33,33,33,33,33
POST,/loginAction?username=42&password=password,9,9,30,30.14148500450473,29.119226994225755,31.777519005117938,762.0,0.029933527240942476,0.029933527240942476,30,30,31,31,32,32,32,32,32,32,32
POST,/loginAction?username=43&password=password,9,9,31,31.504989336503463,29.768740001600236,37.163805012824014,762.0,0.029933527240942476,0.029933527240942476,31,31,32,32,37,37,37,37,37,37,37
POST,/loginAction?username=44&password=password,10,10,30,31.234745000256225,28.997760004131123,35.505577019648626,762.0,0.03325947471215831,0.03325947471215831,30,31,31,35,36,36,36,36,36,36,36
POST,/loginAction?username=45&password=password,6,6,30,31.424857836100273,29.463268991094083,34.551543998532,762.0,0.019955684827294984,0.019955684827294984,32,32,33,33,35,35,35,35,35,35,35
POST,/loginAction?username=46&password=password,9,9,30,29.52531744247406,28.102240001317114,30.499476997647434,762.0,0.029933527240942476,0.029933527240942476,30,30,30,30,30,30,30,30,30,30,30
